,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-lateralorbitofrontal,14.125,85.208,25.125,5.375,4.5,39.5,30.417,57.583,19.292,40.667,0,55.417,966.75,133.62,6.375,5.5,373.04,2609.2,1702,17.625,37.833,24.917,82.667,24.958,189.17,1877.7,463.5,25.667,214.12,29.958,211.21,87.125,4.2917,2215.9,0.375,26.542,4.8333,0.375,0.041667,0.41667,2.1667,0.79167,6.3333,0.5,58.208,0.58333,283.71,1.125,0.41667,2.25,3.4167,14.333,5.375,0.45833,1.0417,7.5833,3.3333,10.875,39,149.08,176.42,6.75,1.4583,0.95833,69.417,0.29167,0.125,8.875
ctx-lh-lingual,13.583,2.25,6.6667,1616.5,52.75,4953.6,137.12,644.17,809.12,4809,55.417,0,24.833,331.04,929.75,0.29167,5.9583,8.7917,4.25,8479.2,1.7083,5.125,6.2917,1077.9,1.7083,20.917,15,916.54,266.58,11.708,3.125,43.583,2.5417,187.33,0.83333,0.375,0.25,100.83,3.125,46.375,40.25,25.375,61.917,198.29,1.375,137.29,0.83333,15.125,19.875,0.83333,0.083333,0.29167,0.29167,116.33,0.66667,0.75,1.125,194.54,0.20833,1.5,3,222.75,15.292,2.6667,0.25,0.95833,1.375,9.875
ctx-lh-medialorbitofrontal,1.7917,428.08,2.4167,1.625,2.4583,24.958,7.6667,25,56.708,13.583,966.75,24.833,0,37.792,6.2083,1.2917,4.7083,31.583,11,8.5833,0.70833,104.5,3.0833,45.125,1752.2,185.17,2044.5,10.5,63.708,2.7917,522.33,56.75,0.16667,424,0.375,78.292,0.79167,0.16667,0.083333,0.45833,2,1.2083,15,0.75,157.08,0.83333,1111,1.8333,1.2083,0.75,1.8333,31.083,9,0.54167,0.58333,19.375,1.25,13.125,176.42,290.33,413.75,4.2083,3.125,1.1667,200.33,0.95833,0.083333,22.917
ctx-lh-middletemporal,4004.5,4.4167,441.12,54.792,2.4583,346.75,5106.5,5640.5,74.292,1414.8,133.62,331.04,37.792,0,24,3.125,571.12,39.167,128.67,171.79,138.21,8.0417,736.62,154.08,2.25,342.29,114.88,439.38,3746.9,2003.9,4.5833,164.83,27.083,376.75,2.125,1.2083,6.75,3.7083,0.041667,3.625,23.75,9.25,16.333,9.875,0.70833,4.9583,1.7917,8.9167,0.83333,5.9167,1.75,0.5,0.83333,4.25,6.7083,6.2917,6.0833,79.958,0.41667,7.625,26.542,90.875,16.042,13.625,0.45833,0.20833,2.0417,8.375
ctx-lh-parahippocampal,1.875,13.167,2.5833,94.625,708.21,1211.1,46.583,96.333,670.33,107.25,6.375,929.75,6.2083,24,0,0.29167,2.2083,1.1667,1,112.54,0.75,34.125,3.0417,521,4.5,6.375,43.792,158.46,24.75,5.9583,0.75,56.917,2.8333,71.75,0.375,0.083333,0.29167,12.958,0.5,6.8333,7.4167,3.125,11.583,18.375,0.70833,17.583,1,3.9167,4.0833,0.75,0.16667,0.16667,0.125,13.5,0.95833,0.91667,0.45833,28.167,0.25,1.2917,2.5,35.375,4.2917,2.2083,0.29167,0.083333,0.16667,1.8333
ctx-lh-paracentral,1.75,54.542,21.625,0.58333,0.041667,0.58333,11.125,2.125,54.292,1.0417,5.5,0.29167,1.2917,3.125,0.29167,0,52.25,2.3333,14.125,0.20833,2070.2,2295.2,3114.9,1788,2.6667,52.792,2757.8,756.46,11.75,85.708,0.41667,0.083333,4.7917,40.875,3.75,7.75,40.292,0.083333,0.041667,0.91667,16.083,2.6667,6.4167,1.0833,0.41667,0.54167,0.125,5.3333,0.58333,1218.6,12.417,0.83333,3.1667,0.375,256.04,382.12,995.42,177.12,0.41667,13.708,384.58,143.79,22.875,92.833,0.041667,0.083333,4.3333,18.958
ctx-lh-parsopercularis,206.04,125.83,4053.6,2.2083,0.625,54.25,317.5,438.83,31.5,32.292,373.04,5.9583,4.7083,571.12,2.2083,52.25,0,244.88,3892.1,3.75,470.46,64.417,4827.2,144.12,5.25,3674.2,3482.5,215.96,548.29,1026.3,3.8333,4.1667,51.583,1894.2,1.2083,60.333,195.04,0.041667,0.041667,0.16667,8.4167,2.5417,3.5,0.41667,1.8333,0.16667,2.9167,3.6667,0.083333,24.292,87.208,4.7083,32.292,0.25,11.542,29.333,104.71,22.667,3,215.38,704.83,18.708,3,9.5,2.375,0,0.375,12.208
ctx-lh-parsorbitalis,7.6667,10.917,25.917,0.83333,0.625,6.625,11.75,21.125,4.9583,7.875,2609.2,8.7917,31.583,39.167,1.1667,2.3333,244.88,0,1803.8,3.4167,14.042,4.4583,34.792,7.75,26.125,1877.9,277.92,6.7917,47.417,23.583,34.542,10,3.3333,269,0.125,5.5833,4.2083,0,0,0,0.75,0.083333,1.1667,0.083333,12.875,0.16667,63.208,0.16667,0.125,1.0417,2.5833,15.292,8.0833,0,0.29167,1.8333,2.125,2.0417,8.4583,146.38,141.71,1.125,0.41667,0.33333,30.625,0,0,1.75
ctx-lh-parstriangularis,39.375,50.042,217.75,0.5,0.33333,15.417,51.625,99.417,11.25,8.1667,1702,4.25,11,128.67,1,14.125,3892.1,1803.8,0,1.7917,75.625,15.917,237.5,29.958,31.208,4432,1067,30.958,137.29,140.5,12.583,3,13.708,1091.5,0.41667,21.25,31.833,0,0,0.041667,2,0.58333,1.2917,0.16667,6.2083,0,17.667,1.3333,0.083333,5.0417,24.083,14.75,37.375,0.083333,2.7083,4.5,12.542,4.7917,11.542,267.88,353.25,3.875,1.1667,3.4167,13.167,0,0.083333,6.0417
ctx-lh-pericalcarine,13.375,0.5,5.125,12660,12.125,602.29,88.375,278.04,439.96,8130.3,17.625,8479.2,8.5833,171.79,112.54,0.20833,3.75,3.4167,1.7917,0,1.5,1.0833,5.5833,897.54,0.29167,8.25,5.8333,2748.1,162.33,7.4583,0.79167,11.708,2.75,82.292,1.7083,0.29167,0.375,162.92,2.0833,57.167,75.542,39.458,85.417,336.96,1.8333,139.54,0.5,22.792,16.125,0.66667,0.25,0.375,0.29167,162.38,0.54167,1.1667,1.4167,320.29,0.041667,0.91667,2.375,395.5,20.125,2.875,0.20833,1.25,1.9167,13.417
ctx-lh-postcentral,48.292,5.8333,675.71,1.3333,0.54167,33.625,568.54,128.67,29.333,34,37.833,1.7083,0.70833,138.21,0.75,2070.2,470.46,14.042,75.625,1.5,0,132.04,18500,196.46,0.41667,155.38,605.67,5317.8,198.5,7502,0.41667,1,100.96,2033.5,6.7083,3.0417,14.958,0.41667,0.041667,0.45833,19.958,3.6667,10.583,1.9583,0.375,0.79167,0.29167,10.208,0.58333,280.83,6.75,0.41667,2.2917,0.70833,226.12,83.5,194.25,176.04,0.083333,8.125,81.25,184.54,49.5,159,0.125,0.041667,10.375,22.458
ctx-lh-posteriorcingulate,3.5833,1039.1,18.417,1.625,3.0417,3.5,16.708,5.6667,1671.7,2.625,24.917,5.125,104.5,8.0417,34.125,2295.2,64.417,4.4583,15.917,1.0833,132.04,0,247.04,4127.8,249.25,93.708,2976.6,230.25,22.708,81.542,14.5,1.3333,6.0833,39.208,2,12.833,31.167,0.70833,0,0.75,8.875,1.4167,13,1.125,5.9583,0.33333,41.083,3.7917,0.33333,342.92,10.792,1.1667,3.3333,0.58333,63.458,229.42,201.29,121.71,4.5833,36.417,326.46,79.083,13.792,38.458,9.7083,0.041667,2.7083,12.042
ctx-lh-precentral,258.12,24.875,7999,3.7917,0.95833,110.38,1246.1,648.62,29.5,86.833,82.667,6.2917,3.0833,736.62,3.0417,3114.9,4827.2,34.792,237.5,5.5833,18500,247.04,0,302.25,1.25,1071.3,7918.7,2001,485.79,2710.5,1.2917,4,62.75,2067,3.0417,19.833,244.96,0.375,0.041667,1.25,37.375,5.7917,5.2917,2.2917,1.25,1.0417,0.54167,10.083,0.25,922.08,46.792,2.4583,8.125,0.625,214.25,223.5,1529.3,142.42,1.0417,48.667,1210.8,138.96,14.083,58.875,0.375,0.083333,2.5833,26.958
ctx-lh-precuneus,53.958,400.33,127.96,2822.2,50.708,235.88,1085.7,229.79,7999.3,509.46,24.958,1077.9,45.125,154.08,521,1788,144.12,7.75,29.958,897.54,196.46,4127.8,302.25,0,92,240,2409.1,6231.3,462.62,484.04,7.5417,11,122.08,218.12,34.208,15.792,53.792,132.17,1.3333,82.25,363.33,130.71,354.54,319.21,13.625,126.29,17.75,125.42,17.5,225.12,21,3.4583,6.5417,147,151.67,192.92,173.88,1304.5,2.5833,46.125,234.75,1279,256.62,270.25,3.75,2.875,29.5,125.92
ctx-lh-rostralanteriorcingulate,0.25,1553.6,1.625,0.125,0.375,1.0833,0.70833,1.2917,117.5,0.625,189.17,1.7083,1752.2,2.25,4.5,2.6667,5.25,26.125,31.208,0.29167,0.41667,249.25,1.25,92,0,231.33,2895.2,2.75,2.5417,0.45833,63.125,1.25,0.083333,53.958,0.041667,24.792,1.8333,0.083333,0,0,0.375,0.20833,2.6667,0.16667,35.667,0.083333,260.04,0.41667,0.20833,0.45833,3.125,11.417,12.375,0.041667,0.25,4.125,0.875,2.5,62.625,206.29,278.42,0.79167,0.70833,0.625,59.292,0.29167,0,6.9167
ctx-lh-rostralmiddlefrontal,75.875,281.21,7405.5,6.1667,1.4167,84.625,469.96,380.12,60.708,61.958,1877.7,20.917,185.17,342.29,6.375,52.792,3674.2,1877.9,4432,8.25,155.38,93.708,1071.3,240,231.33,0,12188,243,215.33,299,310.5,21.708,13.958,727.62,3.2083,217.08,280.08,0.16667,0.125,0.79167,23.458,5.625,18.042,0.95833,85.708,0.66667,419.83,11.583,0.58333,20.708,240.25,144.62,309.58,0.45833,13.083,29.083,68.667,36.208,154.21,2405.7,3195,18.25,9.0417,21.75,192.08,0.54167,1,47.417
ctx-lh-superiorfrontal,32.292,4790,9549.6,6.75,4.4583,32,316.46,102.54,809.83,34.167,463.5,15,2044.5,114.88,43.792,2757.8,3482.5,277.92,1067,5.8333,605.67,2976.6,7918.7,2409.1,2895.2,12188,0,1550.7,107.38,151.33,638.92,9,15.167,1082,10.875,743.88,1281.9,1.4583,0.125,3.0417,96.042,24.792,28.542,4.875,91.417,1.7917,557.21,41.25,0.91667,473.88,670.08,133.42,409.33,1.0833,98.208,468.67,1536.7,186.62,220.29,3164.2,8424.2,140.79,20.708,59.375,227.79,0.625,2.3333,128.75
ctx-lh-superiorparietal,118.62,18.375,580.5,5611,18.083,1163,17466,575.21,1081.5,6939.4,25.667,916.54,10.5,439.38,158.46,756.46,215.96,6.7917,30.958,2748.1,5317.8,230.25,2001,6231.3,2.75,243,1550.7,0,1021.2,6755.1,1.3333,13.75,314.08,821,26.208,7.375,37.625,164.17,2,80,307.21,101.25,239.88,395.21,8.8333,145.92,1.1667,101.62,16.208,145.75,15.625,2.3333,3.25,185.25,124.5,86.333,130.96,1056.4,0.58333,16.792,149.25,1155.8,215,253.79,0.20833,2.4583,25.458,91.917
ctx-lh-superiortemporal,3036.8,5.125,122.62,80.5,25.792,195.62,990.25,367,172.29,611.5,214.12,266.58,63.708,3746.9,24.75,11.75,548.29,47.417,137.29,162.33,198.5,22.708,485.79,462.62,2.5417,215.33,107.38,1021.2,0,4418.8,8.5417,365.5,3297.5,1908.5,6.25,1.2083,5.0417,5.2083,0.16667,5.8333,43.083,12.292,37.958,15.458,1.2083,7.375,1.875,17.75,1.1667,22.833,1.8333,0.29167,1,6.25,34.125,16.5,9.0833,193.25,0.375,7.9583,20.917,198.75,48.75,51.458,0.70833,0.25,6.6667,20.917
ctx-lh-supramarginal,1703.3,3.875,435.12,4.5,1.2917,71.458,6177.7,747.58,174.08,52.208,29.958,11.708,2.7917,2003.9,5.9583,85.708,1026.3,23.583,140.5,7.4583,7502,81.542,2710.5,484.04,0.45833,299,151.33,6755.1,4418.8,0,0.79167,6.7083,702.67,1942,7.4583,1.9583,11.542,1.0417,0.083333,2.3333,37.292,7.7917,38,5.2917,1.0833,2.2083,0.20833,19.375,0.875,92.375,5.2083,0.79167,2.2083,1.9167,111.29,42.042,46.417,256.08,0.16667,9.5417,37.917,301.17,64.5,128.25,0.20833,0.125,9.9583,31.417
ctx-lh-frontalpole,0.41667,39.417,2,0.20833,0.25,1.7917,1.75,1.8333,10.292,1.6667,211.21,3.125,522.33,4.5833,0.75,0.41667,3.8333,34.542,12.583,0.79167,0.41667,14.5,1.2917,7.5417,63.125,310.5,638.92,1.3333,8.5417,0.79167,0,4.375,0,36.625,0.083333,16.25,0.625,0,0,0,0.16667,0.041667,3.8333,0,25.167,0.125,193.29,0.41667,0.041667,0.16667,0.83333,12.292,4.75,0.083333,0.20833,3.6667,0.45833,2.0833,29.125,113.12,174.58,0.29167,0.54167,0.33333,48.792,0.041667,0,1.875
ctx-lh-temporalpole,4.2917,1.5,2.875,3.4583,316.79,299.54,17.833,312.54,8.5,30.833,87.125,43.583,56.75,164.83,56.917,0.083333,4.1667,10,3,11.708,1,1.3333,4,11,1.25,21.708,9,13.75,365.5,6.7083,4.375,0,0.41667,1198.4,0.125,0,0.083333,0.58333,0,0.625,1.9167,0.45833,1.1667,1.75,0.45833,0.625,1.7083,0.625,0.041667,0.16667,0.041667,0.083333,0.041667,1,0.083333,0.20833,0.16667,6.7917,0.125,1.2083,1.75,3.9167,0.875,0.54167,0.25,0,0,0.29167
ctx-lh-transversetemporal,42.167,0.70833,7.4167,5.375,0.29167,6.7917,116.08,13.75,33.833,16.542,4.2917,2.5417,0.16667,27.083,2.8333,4.7917,51.583,3.3333,13.708,2.75,100.96,6.0833,62.75,122.08,0.083333,13.958,15.167,314.08,3297.5,702.67,0,0.41667,0,1115.5,1.2083,0.25,0.75,0.70833,0,0.66667,8.4167,2.0833,5.375,2.1667,0.125,1.0833,0.041667,3.2917,0.33333,4.9167,0.45833,0.125,0.125,0.54167,9.0833,4.2083,2.5,34.208,0.041667,1.1667,3.125,34.583,9.5833,13.5,0,0,1.7083,3.4167
ctx-lh-insula,86.083,67.667,192.46,39.083,218.54,163.54,310.92,169.46,72.25,270.62,2215.9,187.33,424,376.75,71.75,40.875,1894.2,269,1091.5,82.292,2033.5,39.208,2067,218.12,53.958,727.62,1082,821,1908.5,1942,36.625,1198.4,1115.5,0,2.875,14.458,29.542,4.125,0.083333,3.5417,21.875,5.875,13.917,10.875,6.375,4.3333,27.875,8.4583,0.83333,20.917,11.875,3.0417,7.4167,3.9167,15.208,12.625,32.875,78.75,5.8333,55.625,160.83,75.917,17.833,20.792,5,0.16667,2.625,11.458
ctx-rh-bankssts,0.66667,0.45833,3.5417,0.79167,0.041667,1.9583,4.875,3.25,7.0417,3.125,0.375,0.83333,0.375,2.125,0.375,3.75,1.2083,0.125,0.41667,1.7083,6.7083,2,3.0417,34.208,0.041667,3.2083,10.875,26.208,6.25,7.4583,0.083333,0.125,1.2083,2.875,0,2.75,63.208,10.667,0.41667,21.083,2825,191.96,32.583,84.625,23.083,15.417,2.2083,3683.6,2.0833,4.625,92.667,25.375,59.583,17.292,32.708,8.9167,73.542,61.875,0.29167,123.04,48.833,167.5,2674.1,1393.8,0.95833,2.7083,30.208,106.79
ctx-rh-caudalanteriorcingulate,0.5,79.333,74.667,0.083333,0.041667,0.58333,3.4167,1.25,5.875,0.625,26.542,0.375,78.292,1.2083,0.083333,7.75,60.333,5.5833,21.25,0.29167,3.0417,12.833,19.833,15.792,24.792,217.08,743.88,7.375,1.2083,1.9583,16.25,0,0.25,14.458,2.75,0,65.458,0.29167,1.9167,1.4583,11.792,2.7083,336.46,0.95833,84.667,1.5417,276.92,8.5833,16.792,115.58,179.17,10.583,85,0.54167,9.375,1186.3,73.417,423.29,1504.2,360.17,6220.2,26.458,7.375,13.292,20.625,1,0.79167,61.625
ctx-rh-caudalmiddlefrontal,2.125,41.917,527.04,0.29167,0,2.5417,19.5,8.5417,7.1667,2.25,4.8333,0.25,0.79167,6.75,0.29167,40.292,195.04,4.2083,31.833,0.375,14.958,31.167,244.96,53.792,1.8333,280.08,1281.9,37.625,5.0417,11.542,0.625,0.083333,0.75,29.542,63.208,65.458,0,3.4583,0.375,48.75,1236.8,348.71,6.125,67.167,12.833,4.875,2.625,456.67,1.9167,27.958,3016.8,22.708,190.08,3.25,483,23.125,7087.3,83.25,1.5,5713.8,8564.7,545.46,50,217.75,2.875,1.0417,3.3333,132.04
ctx-rh-cuneus,0.33333,0.16667,0.5,94.5,2.1667,39.917,21.583,9.4583,65,173.42,0.375,100.83,0.16667,3.7083,12.958,0.083333,0.041667,0,0,162.92,0.41667,0.70833,0.375,132.17,0.083333,0.16667,1.4583,164.17,5.2083,1.0417,0,0.58333,0.70833,4.125,10.667,0.29167,3.4583,0,6.4167,179.62,107.54,69.667,371.54,3925.7,7.0417,2229.3,0.625,84.917,85.958,0.16667,1.0833,1.5,0.875,12869,0.79167,1.4167,3.2083,2749.5,0.041667,4.375,4.875,5152.7,97.625,4.5833,0.75,2.3333,2.7917,45.25
ctx-rh-entorhinal,0,0.041667,0.083333,1.125,0.125,0.91667,0.41667,0.25,1.0833,2.2917,0.041667,3.125,0.083333,0.041667,0.5,0.041667,0.041667,0,0,2.0833,0.041667,0,0.041667,1.3333,0,0.125,0.125,2,0.16667,0.083333,0,0,0,0.083333,0.41667,1.9167,0.375,6.4167,0,286.92,5.6667,22.5,41.292,13.042,5.625,21.042,1.625,4.125,614.54,0.20833,0.29167,0.083333,0.20833,6.4167,0.041667,4.625,0.125,60.042,0.45833,0.83333,5,16.792,6.125,0.33333,0.16667,144.04,0.20833,291.58
ctx-rh-fusiform,0.54167,0.125,0.79167,34.625,0.91667,23.125,15.917,14,25.458,75.542,0.41667,46.375,0.45833,3.625,6.8333,0.91667,0.16667,0,0.041667,57.167,0.45833,0.75,1.25,82.25,0,0.79167,3.0417,80,5.8333,2.3333,0,0.625,0.66667,3.5417,21.083,1.4583,48.75,179.62,286.92,0,1370.8,4429.8,144.88,7962,45.917,4241.2,6.5417,370.75,1161,1.75,9.9167,6.6667,5.125,464.54,14.792,4.0833,40.792,270.75,0.5,41.417,20.083,1345.8,149.88,22.667,3.2917,133.5,2.4167,159.5
