,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula
ctx-lh-lateralorbitofrontal,15.095,79.257,21.018,5.3472,7.1323,25.417,28.594,40.69,16.977,27.764,0,39.587,568.15,115.49,7.3592,5.3079,146.72,786.38,742.87,13.755,23.88,23.144,45.272,16.271,158.38,487.12,210.56,20.582,186.87,23.1,105.97,88.646,4.3186,416.8,0.76967,18.099,4.4396,0.71094,0.20412,0.77553,2.6155,1.2151,5.3541,1.0215,61.715,0.97431,174.57,1.329,1.0598,2.172,3.0491,11.332,4.2917,0.77903,0.99909,6.9088,3.485,8.8333,23.9,84.153,95.983,5.8029,2.0426,1.459,48.321,0.62409,0.33783,12.821
ctx-lh-lingual,10.06,2.4716,5.7231,663.73,34.18,1305.6,68.677,222.76,359.62,1396.4,39.587,0,23.243,163.46,364.6,0.62409,5.1116,8.2777,3.6146,2210,1.4885,5.3187,4.8944,345.23,2.8204,17.355,11.321,410.02,151.42,6.9937,4.0466,28.817,1.7688,92.905,1.4039,0.71094,0.44233,69.307,6.1596,36.044,29.458,30.916,48.552,182.79,1.7892,91.72,1.4039,16.892,21.961,1.6594,0.28233,0.55003,0.7506,82.855,1.0495,1.0321,1.3613,154.65,0.50898,1.7693,2.7819,133.2,13.294,2.3344,0.44233,1.6011,1.8371,10.174
ctx-lh-medialorbitofrontal,3.23,211.77,2.977,1.974,4.606,23.707,7.5623,27.451,43.444,10.232,568.15,23.243,0,48.087,6.0933,1.4885,3.4701,28.355,11.406,9.0502,0.99909,70.204,4.6243,31.092,709.03,122.99,520.28,12.058,81.612,3.4005,254.54,98.896,0.38069,177.18,0.71094,67.443,1.0624,0.38069,0.28233,0.77903,2.8284,1.7189,14.434,1.1516,95.216,1.3726,455,1.9927,1.8173,1.2247,1.9035,31.575,13.122,0.97709,0.71728,18.12,1.2938,12.124,74.204,217.56,252.95,6.1994,2.9239,1.5511,119.55,1.628,0.28233,32.045
ctx-lh-middletemporal,910.52,4.577,306,29.877,2.9632,147.93,1369,1062.7,35.299,602.12,115.49,163.46,48.087,0,34.537,3.2878,290.11,35.187,109.72,76.747,62.668,7.226,337.38,93.999,2.541,211.77,49.505,147.96,986.25,581.49,7.0706,92,17.788,226.51,2.4902,1.1788,5.244,2.8511,0.20412,3.6572,22.501,15.793,11.518,9.6473,1.3345,8.0405,2.5018,9.0981,1.4346,6.613,1.327,1.0632,1.4039,2.4716,6.6951,8.5388,3.8664,42.32,0.65386,5.0803,10.632,62.119,15.273,11.378,0.93153,0.50898,1.9444,6.8829
ctx-lh-parahippocampal,2.0708,10.248,2.3575,53.397,468.45,458.15,30.255,148.7,389.32,59.339,7.3592,364.6,6.0933,34.537,0,0.69025,3.7991,2.1196,1.3188,55.574,1.1516,27.617,2.2742,238.9,4.4624,4.8527,26.469,88.506,23.051,7.8213,0.98907,48.481,3.0881,222.18,0.87539,0.40825,0.69025,13.598,1.4446,7.293,15.615,5.3756,16.497,12.552,2.0951,19.516,1.4446,10.125,7.1379,2.4716,0.48154,0.38069,0.33783,13.635,2.3495,2.4122,0.72106,28.391,0.44233,2.2357,2.4847,59.996,10.976,8.4954,0.85867,0.28233,0.48154,4.1354
ctx-lh-paracentral,2.1919,55.748,22.757,2.0624,0.20412,0.88055,9.028,2.1931,142.51,1.0826,5.3079,0.62409,1.4885,3.2878,0.69025,0,30.797,1.9486,9.6067,0.50898,659.29,934.17,1356,670.06,2.2586,35.269,876.27,379.78,11.881,60.26,0.71728,0.28233,5.5715,22.693,3.3783,7.2005,23.455,0.28233,0.20412,0.97431,10.069,2.7293,8.2088,1.0598,0.65386,0.97709,0.33783,3.7955,1.0598,465.71,7.5292,0.96309,3.1714,0.96965,131.14,223.21,453.95,113.91,0.58359,11.369,198.86,79.585,18.688,55.337,0.20412,0.40825,3.8069,17.999
ctx-lh-parsopercularis,102.66,132.1,1231.5,2.3953,1.2446,44.032,215.78,222.54,21.49,22.455,146.72,5.1116,3.4701,290.11,3.7991,30.797,0,142.17,818.99,3.0396,224.57,47.874,1358.9,64.808,8.9891,1219.9,915.1,112.57,263.18,420.1,3.7725,5.4825,46.031,530.97,1.4738,42.862,84.247,0.20412,0.20412,0.38069,5.9265,2.604,3.5139,0.71728,2.1602,0.38069,2.2634,2.8387,0.28233,26.847,56.616,5.752,25.292,0.53161,9.6548,55.145,151.42,21.759,3.7993,140.65,291.47,17.354,3.2969,6.8398,2.4283,0,0.57578,10.147
ctx-lh-parsorbitalis,8.7261,12.462,21.54,1.1293,1.6369,6.2819,11.588,17.19,4.8137,7.8536,786.38,8.2777,28.355,35.187,2.1196,1.9486,142.17,0,619.45,4.6989,6.5307,3.05,17.124,5.7729,40.86,589.95,139.01,5.056,35.384,17.545,28.019,13.035,4.1249,113.67,0.33783,4.4323,3.945,0,0,0,0.98907,0.28233,1.5788,0.28233,16.477,0.38069,69.528,0.56466,0.33783,1.1971,2.0624,18.042,7.4596,0,0.55003,1.9035,2.2129,2.5277,7.7008,95.223,80.236,1.3929,0.65386,0.63702,26.623,0,0,1.391
ctx-lh-parstriangularis,31.915,53.274,122.43,0.72232,0.63702,22.965,49.364,81.27,7.8366,6.267,742.87,3.6146,11.406,109.72,1.3188,9.6067,818.99,619.45,0,1.8645,33.831,11.147,89.008,17.601,52.139,724.15,428.51,16.591,54.813,59.734,14.24,3.9342,9.8355,412.1,0.65386,15.123,18.332,0,0,0.20412,1.588,0.92861,1.3981,0.48154,9.7979,0,16.415,1.5511,0.28233,5.1286,17.475,19.265,33.827,0.28233,3.0995,5.133,13.045,3.753,9.8245,163.3,188.86,2.9534,1.5788,2.603,14.011,0,0.28233,4.5634
ctx-lh-pericalcarine,10.541,0.58977,6.5827,2178.6,12.037,387.53,59.362,155.97,213.37,1863.3,13.755,2210,9.0502,76.747,55.574,0.50898,3.0396,4.6989,1.8645,0,2,1.3805,9.0454,400.13,0.7506,8.4197,5.7002,1234.1,66.63,4.8988,1.3181,8.9076,2.9672,34.459,1.7062,0.55003,0.57578,99.437,2.4302,29.307,55.015,38.749,44.981,222.77,2.3344,70.13,0.88465,19.29,14.438,0.86811,0.44233,0.57578,0.46431,65.353,1.1025,1.2394,1.6129,176.92,0.20412,1.6918,2.039,218.33,16.609,2.271,0.50898,1.7508,1.9542,11.508
ctx-lh-postcentral,38.13,7.716,278.99,1.9035,1.6676,28.936,363.07,63.404,40.955,43.602,23.88,1.4885,0.99909,62.668,1.1516,659.29,224.57,6.5307,33.831,2,0,120.1,2260.2,101.93,0.77553,81.59,299.29,1550.3,98.709,1179,0.88055,1.5323,75.126,469.84,7.3749,2.8814,7.8711,0.92861,0.20412,0.88363,18.454,4.0825,13.647,1.9667,0.6469,1.2847,0.55003,9.1223,0.8297,133.84,4.8745,0.88055,2.1964,1.3345,194.67,53.176,106.75,177.16,0.28233,5.4797,36.213,160.57,46.833,112.23,0.33783,0.20412,11.613,21.627
ctx-lh-posteriorcingulate,4.1485,409.22,15.354,3.3984,2.458,2.3031,17.807,4.896,619.8,1.8133,23.144,5.3187,70.204,7.226,27.617,934.17,47.874,3.05,11.147,1.3805,120.1,0,188.17,714.66,101.85,53.314,927.58,106.64,22.497,75.856,10.43,1.6854,5.8303,26.168,2.0851,7.4113,23.609,1.0417,0,1.5948,5.7884,1.5299,13.702,1.227,5.9744,0.63702,35.493,3.426,0.63702,295.26,8.0594,1.4939,2.4789,0.97431,42.261,133.94,135.38,63.032,3.5005,14.557,295.75,43.643,8.1025,23.025,6.5705,0.20412,2.6943,14.412
ctx-lh-precentral,215.63,25.514,1779.1,5.8457,2.6618,76.162,534.81,272.63,46.635,77.709,45.272,4.8944,4.6243,337.38,2.2742,1356,1358.9,17.124,89.008,9.0454,2260.2,188.17,0,139.62,1.6746,456.23,1564.1,705.37,302.91,737.17,1.781,4.1494,46.655,510.7,2.8511,15.631,95.555,0.76967,0.20412,1.5948,23.046,4.6623,3.884,2.3495,1.7508,1.4289,1.1025,8.3297,1.0321,432.26,32.037,2.1865,5.5035,0.82423,183.96,126.87,822.97,112.78,1.1221,34.396,401.76,79.248,11.163,41.404,0.49454,0.28233,3.0916,38.96
ctx-lh-precuneus,39.196,180.02,95.352,863.73,35.907,121.94,686.92,163.84,1457.1,220.14,16.271,345.23,31.092,93.999,238.9,670.06,64.808,5.7729,17.601,400.13,101.93,714.66,139.62,0,47.964,160.77,616.57,1140,248.67,271.32,5.6104,12.083,87.083,90.058,18.472,6.5141,22.193,94.914,1.6854,55.005,251.19,106.48,118.17,201.98,11.111,78.188,18.09,73.221,14.688,125.91,11.348,2.7502,5.175,75.786,70.181,119.28,85.679,606.72,3.0633,26.911,80.577,708.97,138.2,93.921,3.2471,3.8596,21.189,91.043
ctx-lh-rostralanteriorcingulate,0.44233,650.13,2.143,0.33783,0.71094,1.3486,0.99909,1.8992,102.11,0.92372,158.38,2.8204,709.03,2.541,4.4624,2.2586,8.9891,40.86,52.139,0.7506,0.77553,101.85,1.6746,47.964,0,297.96,859.83,3.5661,3.349,0.77903,62.002,1.9167,0.28233,37.282,0.20412,22.862,1.9927,0.28233,0,0,0.57578,0.50898,2.7452,0.56466,30.781,0.28233,139.44,0.77553,0.41485,0.93153,3.5054,13.233,14.741,0.20412,0.73721,5.228,1.454,2.1264,47.048,172.57,206.3,0.88363,0.9079,0.87539,37.865,0.69025,0,7.3952
ctx-lh-rostralmiddlefrontal,43.975,202.46,1801.4,6.4314,2.2442,39.701,299.37,215.68,31.207,32.592,487.12,17.355,122.99,211.77,4.8527,35.269,1219.9,589.95,724.15,8.4197,81.59,53.314,456.23,160.77,297.96,0,2295.6,157.36,110.62,258.74,151.56,25.035,11.388,337.03,2.1665,88.329,152.64,0.38069,0.44843,0.83297,13.787,3.9652,8.7351,1.2329,58.903,1.0072,214.1,6.0139,0.77553,15.064,106.78,96.023,137.12,0.83297,8.4076,19.733,41.022,17.663,112.43,714.3,743.71,11.019,6.2796,12.629,72.738,0.65801,1.2854,27.235
ctx-lh-superiorfrontal,18.558,1235.2,2491.2,6.8414,3.2434,23.116,218.05,30.936,294.93,21.256,210.56,11.321,520.28,49.505,26.469,876.27,915.1,139.01,428.51,5.7002,299.29,927.58,1564.1,616.57,859.83,2295.6,0,660.65,38.623,60.717,342.89,14.515,10.757,583,9.9447,302.7,407.07,1.1413,0.33783,2.2742,39.773,16.932,14.277,3.3142,46.668,1.503,270.26,26.326,1.018,220.69,257.76,73.429,193.85,1.0598,51.011,387.26,636.88,101.44,117.18,893.05,2077.3,53.397,14.287,25.993,78.713,1.0959,2.3713,87.321
ctx-lh-superiorparietal,70.064,13.484,257.8,1538.2,13.909,392.88,3045.9,243.91,457.84,2025.9,20.582,410.02,12.058,147.96,88.506,379.78,112.57,5.056,16.591,1234.1,1550.3,106.64,705.37,1140,3.5661,157.36,660.65,0,263.85,2056.2,1.6594,11.818,115.22,343.67,18.423,7.8064,18.094,80.615,2.2067,51.188,191.34,81.077,103.31,252.61,7.5219,84.958,1.4346,53.504,10.657,108.6,10.701,2.8079,2.9818,92.706,73.267,57.402,81.216,453.33,0.77553,12.222,79.625,520.86,114.56,83.497,0.41485,2.8127,15.869,58.844
ctx-lh-superiortemporal,731.41,3.1803,110.74,39.335,63.425,91.616,421.85,171.07,98.054,259.31,186.87,151.42,81.612,986.25,23.051,11.881,263.18,35.384,54.813,66.63,98.709,22.497,302.91,248.67,3.349,110.62,38.623,263.85,0,1125.3,14.087,223.69,662.35,614.28,5.0411,1.4738,2.6454,3.8105,0.38069,6.1621,30.765,13.291,24.887,13.856,1.3507,6.5462,2.6591,14.51,1.9262,29.914,2.2001,0.46431,1.1795,3.8476,39.022,18.538,7.0767,115.08,0.76967,4.1439,9.9604,108.25,35.417,38.824,0.85867,0.60792,5.6696,17.693
ctx-lh-supramarginal,510.36,3.3662,292.29,3.0072,1.9219,49.724,1494.1,301.09,137.89,36.658,23.1,6.9937,3.4005,581.49,7.8213,60.26,420.1,17.545,59.734,4.8988,1179,75.856,737.17,271.32,0.77903,258.74,60.717,2056.2,1125.3,0,1.0206,13.288,297.97,550.92,7.6099,2.1362,6.3792,1.0826,0.28233,2.8079,32.857,8.2566,32.2,4.2781,2.2247,2.1055,0.50898,17.37,1.777,80.259,3.7064,1.1788,2.4134,1.7673,96.501,27.43,43.308,186.97,0.38069,8.3509,15.079,190.75,50.158,102.06,0.58823,0.44843,8.3117,26.155
ctx-lh-frontalpole,0.58359,27.07,2.4137,0.41485,0.67566,2.2646,2.6416,1.8098,6.9999,2.1196,105.97,4.0466,254.54,7.0706,0.98907,0.71728,3.7725,28.019,14.24,1.3181,0.88055,10.43,1.781,5.6104,62.002,151.56,342.89,1.6594,14.087,1.0206,0,5.762,0,20.744,0.28233,11.596,0.92372,0,0,0,0.48154,0.20412,3.691,0,13.874,0.44843,98.996,0.58359,0.20412,0.38069,0.96309,7.7711,3.1794,0.28233,0.41485,2.6811,0.83297,2.1247,15.448,64.991,91.259,0.69025,0.83297,0.70196,29.478,0.20412,0,2.0283
ctx-lh-temporalpole,5.8196,2.2842,3.6393,3.1065,245.04,189.32,17.051,261.59,6.7631,25.921,88.646,28.817,98.896,92,48.481,0.28233,5.4825,13.035,3.9342,8.9076,1.5323,1.6854,4.1494,12.083,1.9167,25.035,14.515,11.818,223.69,13.288,5.762,0,0.65386,450.04,0.33783,0,0.28233,0.88055,0,2.4639,4.577,0.93153,2.3157,3.7329,1.2504,0.96965,2.5105,1.279,0.20412,0.63702,0.20412,0.28233,0.20412,1.4744,0.28233,0.65801,0.38069,9.5916,0.33783,2.1665,3.4922,4.8805,1.3929,0.97709,0.44233,0,0,1.0417
ctx-lh-transversetemporal,37.594,1.0417,5.8154,4.7531,0.62409,4.5395,103.01,12.026,22.77,15.973,4.3186,1.7688,0.38069,17.788,3.0881,5.5715,46.031,4.1249,9.8355,2.9672,75.126,5.8303,46.655,87.083,0.28233,11.388,10.757,115.22,662.35,297.97,0,0.65386,0,346.69,1.6413,0.73721,0.94409,0.7506,0,0.91683,7.581,4.0745,5.0027,2.3344,0.33783,1.9542,0.20412,3.5689,0.56466,4.96,0.88363,0.44843,0.33783,0.77903,9.9909,4.4719,2.8438,28.233,0.20412,1.3077,3.2878,22.051,9.6815,11.542,0,0,1.8292,4.159
ctx-lh-insula,62.505,48.366,161.75,22.161,141.92,83.834,149.25,78.935,44.029,112.37,416.8,92.905,177.18,226.51,222.18,22.693,530.97,113.67,412.1,34.459,469.84,26.168,510.7,90.058,37.282,337.03,583,343.67,614.28,550.92,20.744,450.04,346.69,0,3.221,11.714,24.819,5.0589,0.28233,4.4816,14.627,5.8258,12.18,13.241,9.169,2.761,36.103,7.8407,0.86811,17.199,9.2704,4.6108,6.3719,3.9554,11.542,9.9556,35.636,56.422,4.7151,30.373,94.546,43.773,13.586,16.208,3.8674,0.38069,2.5676,10.946
ctx-rh-bankssts,0.76139,0.72106,3.7991,0.88363,0.20412,2.6618,4.8122,3.1931,5.6835,3.9377,0.76967,1.4039,0.71094,2.4902,0.87539,3.3783,1.4738,0.33783,0.65386,1.7062,7.3749,2.0851,2.8511,18.472,0.20412,2.1665,9.9447,18.423,5.0411,7.6099,0.28233,0.33783,1.6413,3.221,0,3.4922,73.392,8.4373,0.92861,16.484,1012.1,141.06,21.998,63.361,22.407,15.339,5.1498,992.9,2.0198,6.5129,74.789,21.37,36.931,18.229,16.693,11.568,55.827,33.147,1.0417,71.169,27.568,61.38,905.33,708.78,1.6806,3.0429,23.708,60.499
ctx-rh-caudalanteriorcingulate,0.72232,64.883,54.482,0.28233,0.20412,0.71728,3.1885,1.3593,4.7941,0.6469,18.099,0.71094,67.443,1.1788,0.40825,7.2005,42.862,4.4323,15.123,0.55003,2.8814,7.4113,15.631,6.5141,22.862,88.329,302.7,7.8064,1.4738,2.1362,11.596,0,0.73721,11.714,3.4922,0,88.574,0.69025,1.9542,1.6676,9.0553,2.6123,111.94,1.0826,72.093,1.7688,157.52,6.4667,8.7177,91.973,122.7,8.0537,63.826,0.77903,6.7939,415.95,68.186,126.25,397.59,218.13,1846.8,16.692,7.1128,10.255,11.447,2.5022,1.6676,38.614
ctx-rh-caudalmiddlefrontal,1.5126,32.555,226.94,0.62409,0,2.1865,9.5917,7.3068,6.8504,1.7998,4.4396,0.44233,1.0624,5.244,0.69025,23.455,84.247,3.945,18.332,0.57578,7.8711,23.609,95.555,22.193,1.9927,152.64,407.07,18.094,2.6454,6.3792,0.92372,0.28233,0.94409,24.819,73.392,88.574,0,3.6592,0.92372,37.629,490.2,239.24,4.0358,63.804,11.138,3.7914,4.48,293.22,2.1653,28.524,1380.6,13.528,92.21,2.9672,236,33.335,1686.9,73.77,2.3591,1387.8,1813.7,343.92,39.963,163.01,4.4752,1.3345,2.8842,96.493
ctx-rh-cuneus,0.56466,0.38069,0.78019,53.525,2.8387,32.326,13.256,6.9843,47.691,140.24,0.71094,69.307,0.38069,2.8511,13.598,0.28233,0.20412,0,0,99.437,0.92861,1.0417,0.76967,94.914,0.28233,0.38069,1.1413,80.615,3.8105,1.0826,0,0.88055,0.7506,5.0589,8.4373,0.69025,3.6592,0,5.8527,75.14,68.937,48.944,195.55,1033.9,5.1455,949.57,0.92372,45.557,68.088,0.38069,1.2482,1.694,1.0347,3130.3,1.3825,1.8631,2.9779,937.63,0.20412,2.9608,4.1839,1334.4,48.203,3.2292,1.1887,1.9035,2.7502,18.892
